,corto,x
1,libertad para improvisar y adaptarme,tengo_libertad_para_improvisar_o_adaptar_la_forma_en_la_que_logro_mis_objetivos
2,mis compañeros estan comprometidos,los_companeros_de_mi_equipo_estan_comprometidos_a_realizar_un_excelente_trabajo
3,estamos todos en el mismo barco,nos_sentimos_como_si_estuvieramos_todos_as_en_el_mismo_barco
4,colaboracion entre departamentos,los_departamentos_colaboran_de_manera_efectiva_para_ayudar_a_que_la_organizacion_tenga_mas_exito
5,me pagan adecuadamente,me_pagan_adecuadamente_por_mis_resultados_y_el_trabajo_que_realizo_dia_a_dia
6,beneficios especiales y unicos,aqui_tenemos_beneficios_especiales_y_unicos
7,mi lider comunica la direccion de la empresa,mi_formador_comunica_de_manera_clara_y_frecuente_la_direccion_de_la_empresa
8,se que se espera de mi,se_que_se_espera_de_mi_en_el_trabajo
9,mi lider comunica como ayudo,mi_formador_comunica_claramente_como_mi_funcion_contribuye_a_nuestro_exito
10,,participo_de_manera_adecuada_en_las_decisiones_que_afectan_mi_trabajo
11,,puedo_expresar_mi_opinion_sobre_cualquier_tema_sin_miedo_a_represalias
12,,la_comunicacion_interna_es_clara_y_fortalece_mi_compromiso_y_companerismo_con_la_empresa
13,,recibo_la_informacion_y_comunicacion_que_necesito_para_desempenar_mi_trabajo_de_manera_eficaz
14,,tengo_conversaciones_suficientes_con_mi_formador_que_me_ayudan_a_mejorar_en_mi_trabajo
15,,recibo_retroalimentacion_util_y_con_seguimiento_por_parte_de_mi_formador
16,,cuento_con_toda_la_informacion_herramientas_o_el_equipo_necesario_para_hacer_mi_trabajo
17,,tengo_los_recursos_herramientas_y_apoyo_que_necesito_para_tener_exito_en_mi_trabajo
18,,estoy_seguro_de_que_trabajo_en_una_empresa_lider_en_mexico
19,,estoy_orgulloso_a_de_trabajar_para_esta_empresa
20,,quiero_trabajar_muchos_anos_en_mi_empresa
21,,mi_trabajo_tiene_un_sentido_especial_no_es_simplemente_un_trabajo
22,,la_mision_proposito_de_mi_compania_me_hace_sentir_que_mi_trabajo_es_importante
23,,puedo_ver_un_vinculo_claro_entre_mi_trabajo_y_la_vision_de_esta_empresa
24,,la_empresa_cuida_mi_bienestar_fisico_y_emocional_previene_el_estres_y_atiende_situaciones_de_acoso
25,,la_empresa_promueve_mi_bienestar_emocional_y_reconoce_los_logros_que_fortalecen_un_ambiente_positivo
26,,las_politicas_y_procedimientos_de_la_empresa_son_claros_accesibles_y_se_aplican_de_manera_consistente
27,,en_esta_empresa_se_fomenta_mi_crecimiento_profesional_mediante_capacitacion_y_retroalimentacion_que_mejora_mi_desempeno
28,,la_capacitacion_que_recibo_me_sirve_para_hacer_mejor_mi_trabajo
29,,desde_que_trabajo_aqui_he_crecido_como_persona
30,,mi_trabajo_aprovecha_bien_mis_talentos_habilidades_y_capacidades
31,,en_mi_trabajo_tengo_oportunidad_de_aplicar_mis_talentos_es_decir_aquello_para_lo_que_soy_muy_bueno
32,,siento_que_tengo_oportunidades_reales_de_desarrollo_y_crecimiento_profesional_dentro_de_la_empresa
33,,en_mi_empresa_las_promociones_o_movimientos_se_dan_solamente_a_las_personas_que_lo_merecen
34,,creo_que_en_esta_empresa_tendre_la_oportunidad_de_crecer_y_explorar_nuevos_puestos_a_corto_o_mediano_plazo
35,,en_mi_empresa_se_respeta_la_diversidad_y_se_promueve_un_trato_equitativo_para_todas_las_personas
36,,los_as_supervisores_representan_los_valores_que_persiguen_la_compania
37,,tengo_confianza_en_que_el_equipo_directivo_tomara_las_decisiones_correctas_para_esta_empresa
38,,confio_en_las_decisiones_de_mi_formador_y_aprendo_de_el
39,,mi_formador_tiene_disponibilidad_de_ayudarme_cuando_tengo_un_problema_personal_o_laboral
40,,si_pudiera_elegir_seguiria_a_mi_formador_de_equipo_en_otro_proyecto_porque_es_inteligente_tiene_capacidad_para_comunicar_y_desarrollar_a_su_equipo
41,,mi_lider_directo_me_transmite_certidumbre_en_su_trato_hacia_mi_y_hacia_mis_companeros
42,,mi_lider_me_inspira_a_probar_nuevas_formas_para_alcanzar_los_resultados
43,,mi_lider_me_hace_sentir_valorado_como_persona_y_profesional
44,,los_as_superiores_llevan_el_negocio_honesta_y_eticamente
45,,en_mi_empresa_los_lideres_inspiran_confianza_guian_al_equipo_y_reconocen_los_logros_de_manera_justa
46,,los_as_superiores_hacen_un_buen_trabajo_al_asignar_funciones_y_coordinar_a_las_personas
47,,creo_que_mi_empresa_contribuye_positivamente_a_la_sociedad_al_pais_y_al_medio_ambiente
48,,me_siento_valorado_en_mi_equipo_de_trabajo
49,,recibo_reconocimiento_por_mi_trabajo_y_se_fomenta_la_innovacion_para_mejorar_procesos_y_resultados
50,,los_as_superiores_reconocen_el_buen_trabajo_y_el_esfuerzo_extra
51,,cuando_pienso_en_ir_a_trabajar_no_me_siento_estresado_o_poco_motivado
52,,estoy_entusiasmado_a_con_mi_trabajo
53,,a_las_personas_se_les_anima_a_que_equilibren_su_vida_profesional_y_personal
54,,el_tiempo_que_dedico_a_mi_trabajo_no_afecta_mis_actividades_personales
55,,me_siento_seguro_en_el_ambiente_de_trabajo_que_tengo_actualmente
